iter	RMSE
0	0.4835874733
1	0.4663824604
2	0.4545789854
3	0.4424740253
4	0.4307185169
5	0.4218604825
6	0.4139274715
7	0.407665688
8	0.4021014875
9	0.3967552105
10	0.3921446712
11	0.3877695424
12	0.3830570317
13	0.3792720828
14	0.3757430922
15	0.3730622028
16	0.3710721508
17	0.3691609801
18	0.3673488492
19	0.3655464258
20	0.3642941302
21	0.3624663423
22	0.3609134092
23	0.3595619241
24	0.358037314
25	0.3569499876
26	0.3551140115
27	0.353697599
28	0.3529113859
29	0.3518653703
30	0.3513839016
31	0.3505638347
32	0.3494468234
33	0.3484509289
34	0.3479081899
35	0.3474906787
36	0.3470514002
37	0.3467291273
38	0.3461141317
39	0.3451971577
40	0.3445682348
41	0.3433424916
42	0.3428268285
43	0.3425263072
44	0.3417873003
45	0.3409995203
46	0.3400783523
47	0.3396650519
48	0.3387577866
49	0.3382848903
50	0.3377589235
51	0.3374319362
52	0.3366669407
53	0.3361899165
54	0.3356741671
55	0.3353275991
56	0.334789241
57	0.3341067742
58	0.3333405001
59	0.3330786272
60	0.332459828
61	0.3318115503
62	0.3312432349
63	0.3304275276
64	0.3302413592
65	0.3298806276
66	0.3294090303
67	0.3287362164
68	0.3278521944
69	0.32742318
70	0.3270353751
71	0.3267897799
72	0.3259762754
73	0.3255956927
74	0.3250349881
75	0.3244462633
76	0.3241338463
77	0.3235281901
78	0.3228696814
79	0.3226022456
80	0.3223516597
81	0.3219459999
82	0.3211709673
83	0.320805014
84	0.3200486585
85	0.3198751388
86	0.3192123445
87	0.3186871495
88	0.3180550927
89	0.3172182125
90	0.3165517266
91	0.3159522077
92	0.3155148906
93	0.3150724068
94	0.3149836499
95	0.3145345462
96	0.3139921005
97	0.3135240208
98	0.3133035618
99	0.3125442799
100	0.3121819395
101	0.3115086654
102	0.3110426217
103	0.3104364397
104	0.3100015864
105	0.3093320027
106	0.3088814293
107	0.3087814784
108	0.30830272
109	0.3078664103
110	0.3074983183
111	0.3074089555
112	0.3066577881
113	0.3062144943
114	0.3061167839
115	0.305655437
116	0.3053744318
117	0.3049049364
118	0.3040714568
119	0.3037530539
120	0.3030690862
121	0.3026287526
122	0.3020123759
123	0.3014951254
124	0.301119012
125	0.3007217518
126	0.3000686338
127	0.2995708662
128	0.2993102314
129	0.298961227
130	0.2989078214
131	0.2988401859
132	0.298169136
133	0.2975439016
134	0.2969490661
135	0.2964782422
136	0.2958407534
137	0.295401166
138	0.2947279073
139	0.2942036817
140	0.2938008141
141	0.2932153685
142	0.2926184908
143	0.2921718889
144	0.2913780881
145	0.2909052337
146	0.2902578509
147	0.2897667411
148	0.289494668
149	0.2890171789
150	0.2884180264
151	0.2881170966
152	0.28791595
153	0.2877093414
154	0.2871163733
155	0.2867969704
156	0.2864693983
157	0.2860416331
158	0.2855802761
159	0.28542896
160	0.2850663954
161	0.2844328428
162	0.2843157069
163	0.2842216865
164	0.2838393532
165	0.2835449378
166	0.2826192802
167	0.2824371348
168	0.2823722745
169	0.2821274843
170	0.2818455562
171	0.2810913107
172	0.2808716526
173	0.2805211347
174	0.2801192358
175	0.2797336672
176	0.2796147106
177	0.2791845695
178	0.2787146997
179	0.2783422092
180	0.2780499265
181	0.277873749
182	0.277466337
183	0.2771148744
184	0.2766232271
185	0.2765427007
186	0.2765112775
187	0.2758642093
188	0.2753754385
189	0.2747304853
190	0.2743701756
191	0.273932656
192	0.2739002016
193	0.2735851799
194	0.2731616682
195	0.272739322
196	0.2724555702
197	0.2720330841
198	0.2718465469
199	0.2714372902
200	0.2709243996
201	0.2707737083
202	0.2702862248
203	0.2698471576
204	0.2697962827
205	0.2694537982
206	0.2693395349
207	0.2690813972
208	0.2690169094
209	0.2687341377
210	0.2686698133
211	0.2684217238
212	0.2680642199
213	0.2676651663
214	0.2675811461
215	0.2672248671
216	0.2670743665
217	0.266735096
218	0.2666527767
219	0.2662351115
220	0.2661594065
221	0.265814322
222	0.2654912611
223	0.2652247977
224	0.2649086791
225	0.2647826411
226	0.2644681532
227	0.2641465589
228	0.2639115331
229	0.2633951867
230	0.2630823761
231	0.262741553
232	0.2625067844
233	0.2622319941
234	0.2617769101
235	0.2617057486
236	0.2615680567
237	0.2612520754
238	0.2608121731
239	0.2601759026
240	0.2599106335
241	0.2597115279
242	0.2592824639
243	0.258874849
244	0.2585422242
245	0.2583559162
246	0.2583140651
247	0.2581703938
248	0.2578783966
249	0.2575028151
250	0.257212506
251	0.2570017223
252	0.2567827403
253	0.2566538902
254	0.25627012
255	0.2559489663
256	0.2556318577
257	0.2553523021
258	0.255051888
259	0.2547450112
260	0.2547078061
261	0.2544269101
262	0.2532635243
263	0.2528832783
264	0.2528067351
265	0.2526349145
266	0.2522657543
267	0.2520020901
268	0.2518122694
269	0.2514668965
270	0.2511484258
271	0.2508017155
272	0.2506857503
273	0.2503112287
274	0.2501872373
275	0.2499725037
276	0.2494021214
277	0.2491767943
278	0.2488265448
279	0.2485986136
280	0.248278782
281	0.2480439787
282	0.2479585585
283	0.2474696328
284	0.2469529081
285	0.2466744831
286	0.2459828145
287	0.2457286727
288	0.2455301027
289	0.2454188003
290	0.2453785356
291	0.2451531779
292	0.244890295
293	0.244622241
294	0.2444145824
295	0.2442317455
296	0.2441315965
297	0.2439236543
298	0.2436407914
299	0.2434628972
300	0.2432672334
301	0.2424563702
302	0.242336665
303	0.2420695144
304	0.2416956621
305	0.2415182255
306	0.2412473953
307	0.2409823006
308	0.2409251986
309	0.2405753529
310	0.2401655497
311	0.2391777633
312	0.2387046343
313	0.2384948465
314	0.2382262956
315	0.2380066666
316	0.2379337015
317	0.2376305786
318	0.2372137453
319	0.2369482608
320	0.2365995101
321	0.2364007236
322	0.2362556882
323	0.2360693828
324	0.2357237695
325	0.2355202938
326	0.2352392407
327	0.2350218684
328	0.2348435536
329	0.2347047752
330	0.2343396678
331	0.2342115313
332	0.233969769
333	0.2339144023
334	0.2338039647
335	0.2336768111
336	0.2335095318
337	0.2331831633
338	0.2330310099
339	0.2329263098
340	0.2327263756
341	0.2326177999
342	0.2324124666
343	0.2321930936
344	0.2317100289
345	0.2314226829
346	0.231188608
347	0.2309290665
348	0.2308214282
349	0.230592626
350	0.2304728012
351	0.2301388985
352	0.2298777806
353	0.2292265041
354	0.2287813574
355	0.2284789846
356	0.2282507225
357	0.2280695402
358	0.2278123742
359	0.2274867267
360	0.2274213138
361	0.2271593092
362	0.2268236519
363	0.2267600886
364	0.2266640762
365	0.2265706624
366	0.2262732597
367	0.2260294324
368	0.2258970657
369	0.2256852112
370	0.2254685242
371	0.224970936
372	0.224490649
373	0.2244567487
374	0.2242281354
375	0.2239318543
376	0.2236671495
377	0.2235073342
378	0.2232446224
379	0.2230811597
380	0.2228386093
381	0.222533513
382	0.2222745016
383	0.2222114274
384	0.2221332338
385	0.2215408022
386	0.2212166024
387	0.221064255
388	0.2208561264
389	0.2207144521
390	0.2205424403
391	0.2202992822
392	0.2201004681
393	0.2199090572
394	0.2197511539
395	0.2196260878
396	0.2195621889
397	0.2192500072
398	0.2191233248
399	0.2188226323
400	0.2186239893
401	0.2184494976
402	0.2183253535
403	0.2181663391
404	0.2181376428
405	0.2179444877
406	0.217728219
407	0.2175731469
408	0.2174610302
409	0.217418453
410	0.2169905984
411	0.2167836765
412	0.2165709219
413	0.2163202584
414	0.2159682564
415	0.2158257996
416	0.2156414363
417	0.215337918
418	0.2152540554
419	0.2152044457
420	0.2150000479
421	0.2147147551
422	0.2145698848
423	0.2142403403
424	0.2140387894
425	0.2138588018
426	0.2136694516
427	0.2136220145
428	0.2134635382
429	0.2133420781
430	0.2128068177
431	0.2127614334
432	0.2125300839
433	0.212402023
434	0.2122884085
435	0.2121210558
436	0.2120758958
437	0.2118618629
438	0.2116138096
439	0.2114757764
440	0.2113845843
441	0.2107259526
442	0.2106058256
443	0.2102435349
444	0.2101026364
445	0.2098382071
446	0.2096142061
447	0.2094046915
448	0.2088809311
449	0.2086158735
450	0.2083952758
451	0.2083830147
452	0.2080871811
453	0.2079081495
454	0.2075639753
455	0.2074438008
456	0.2073099966
457	0.2071341201
458	0.2068654274
459	0.2067555088
460	0.2066526778
461	0.2062770007
462	0.2059905273
463	0.2058894648
464	0.2057596561
465	0.2056574725
466	0.2054079092
467	0.2051793646
468	0.205093123
469	0.2050145181
470	0.2046985774
471	0.2045867861
472	0.2044595508
473	0.2043223809
474	0.2042400354
475	0.2041595775
476	0.2040485951
477	0.2039013329
478	0.203678609
479	0.2033963554
480	0.2032819556
481	0.2031694475
482	0.2028885014
483	0.202652552
484	0.2025080223
485	0.2024082058
486	0.2022994616
487	0.2020192807
488	0.2018824633
489	0.2016207428
490	0.2015560971
491	0.2013663262
492	0.2009514592
493	0.2008953342
494	0.200448565
495	0.2002010471
496	0.1999126525
497	0.1998592415
498	0.1997722317
499	0.1996542454
