iter	Passed	Remaining
0	146	73340
1	147	36781
2	147	24513
3	148	18378
4	148	14696
5	148	12259
6	149	10508
7	149	9191
8	149	8168
9	149	7349
10	150	6678
11	150	6119
12	150	5648
13	151	5242
14	151	4891
15	151	4583
16	151	4312
17	152	4071
18	152	3855
19	152	3660
20	152	3485
21	153	3324
22	153	3178
23	153	3045
24	153	2921
25	154	2808
26	154	2702
27	154	2604
28	154	2513
29	155	2428
30	155	2348
31	155	2274
32	155	2204
33	156	2145
34	156	2084
35	157	2025
36	157	1970
37	157	1917
38	158	1867
39	158	1820
40	158	1775
41	158	1732
42	159	1691
43	159	1652
44	159	1614
45	159	1578
46	160	1544
47	160	1511
48	160	1479
49	160	1448
50	161	1419
51	161	1391
52	161	1363
53	161	1337
54	162	1312
55	162	1288
56	162	1265
57	163	1243
58	163	1221
59	163	1200
60	164	1181
61	164	1161
62	164	1142
63	165	1124
64	165	1106
65	165	1089
66	166	1075
67	166	1059
68	167	1043
69	167	1027
70	167	1012
71	167	997
72	168	983
73	168	969
74	168	955
75	168	942
76	169	929
77	169	917
78	169	904
79	170	893
80	170	881
81	170	870
82	171	859
83	171	848
84	171	838
85	171	827
86	172	817
87	172	807
88	172	797
89	173	788
90	173	778
91	173	769
92	173	760
93	174	752
94	174	743
95	174	735
96	175	727
97	175	719
98	175	711
99	175	703
100	176	695
101	176	687
102	176	680
103	176	673
104	177	666
105	177	659
106	177	653
107	178	646
108	178	640
109	178	633
110	178	627
111	179	620
112	179	614
113	179	608
114	180	602
115	180	596
116	180	591
117	180	585
118	181	579
119	181	574
120	181	568
121	181	563
122	182	558
123	182	553
124	182	548
125	182	543
126	183	538
127	183	533
128	183	528
129	184	524
130	184	519
131	184	515
132	185	510
133	185	506
134	185	501
135	185	497
136	186	493
137	186	489
138	186	485
139	187	481
140	187	477
141	187	473
142	187	469
143	188	465
144	188	461
145	188	457
146	189	453
147	189	451
148	189	447
149	190	443
150	190	440
151	190	436
152	191	433
153	191	430
154	191	427
155	192	423
156	192	420
157	192	417
158	193	413
159	193	410
160	193	407
161	193	404
162	194	401
163	194	398
164	194	395
165	194	392
166	195	389
167	195	386
168	195	383
169	195	380
170	196	377
171	196	374
172	196	371
173	197	369
174	197	366
175	197	363
176	197	361
177	198	358
178	198	355
179	198	353
180	199	350
181	199	348
182	199	345
183	199	343
184	200	340
185	200	338
186	200	335
187	200	333
188	201	331
189	201	328
190	201	326
191	201	323
192	202	321
193	202	319
194	202	317
195	203	314
196	203	312
197	203	310
198	204	308
199	204	306
200	204	304
201	204	302
202	205	300
203	205	298
204	205	296
205	206	294
206	206	292
207	206	290
208	206	288
209	207	286
210	207	284
211	207	282
212	207	280
213	208	278
214	208	276
215	208	274
216	209	272
217	209	270
218	209	269
219	209	267
220	210	265
221	210	263
222	210	261
223	211	259
224	211	258
225	211	256
226	211	254
227	212	253
228	212	251
229	212	249
230	213	248
231	213	246
232	213	244
233	213	243
234	214	241
235	214	239
236	214	238
237	214	236
238	215	234
239	215	233
240	215	231
241	216	230
242	216	228
243	216	227
244	216	225
245	217	224
246	217	222
247	217	221
248	218	219
249	218	218
250	218	216
251	218	215
252	219	214
253	219	212
254	219	211
255	220	209
256	220	208
257	221	207
258	221	206
259	221	204
260	222	203
261	222	201
262	222	200
263	222	199
264	223	197
265	223	196
266	223	195
267	223	193
268	224	192
269	224	191
270	224	189
271	225	188
272	225	187
273	225	186
274	225	184
275	226	183
276	226	182
277	226	181
278	227	179
279	227	178
280	227	177
281	228	176
282	228	175
283	228	173
284	228	172
285	229	171
286	229	170
287	229	169
288	230	167
289	230	166
290	230	165
291	230	164
292	231	163
293	231	162
294	231	161
295	232	159
296	232	158
297	232	157
298	232	156
299	233	155
300	233	154
301	233	153
302	234	152
303	234	151
304	234	149
305	234	148
306	235	147
307	235	146
308	235	145
309	235	144
310	236	143
311	236	142
312	236	141
313	236	140
314	237	139
315	237	138
316	237	137
317	238	136
318	238	135
319	238	134
320	238	133
321	239	132
322	239	131
323	239	130
324	239	129
325	240	128
326	240	127
327	240	126
328	241	125
329	241	124
330	241	123
331	242	122
332	242	121
333	242	120
334	242	119
335	243	118
336	243	117
337	243	116
338	244	116
339	244	115
340	244	114
341	245	113
342	245	112
343	245	111
344	246	110
345	246	109
